Campaign,Course,Market,Channel,Tag source,Launch date,Age (days),Display name,Campaign ID,Aliases
GE_Meta_Live In_CBO_Registration_IND_AllCourse_iOS_...21082026_NA,All Courses,India,Meta,tagging sheet,20 Aug 2026,17,GE_Meta_Live In_CBO_Registration_IND_AllCourse_iOS_...21082026_NA,,
GE_Meta_Live In_CBO_Registration_IND_AllCourse_iOS_AllGender+DetailedTargeting_Scaling_21082026_NA,All Courses,India,Meta,parsed-convention,20 Aug 2026,17,GE_Meta_Live In_CBO_Registration_IND_AllCourse_iOS_AllGender+DetailedTargeting_Scaling_21082026_NA,,
GE_TopCity_iOS_Gita_ABTest_01062026,Gita,India,Meta,tagging sheet,31 May 2026,98,GE_TopCity_iOS_Gita_ABTest_01062026,,
GE_US/CA/UK_Topcreatives_CBO_Gita,Gita,INT,Meta,tagging sheet,,,GE_US/CA/UK_Topcreatives_CBO_Gita,,
GE_US_Gita_LAL_WV_01052026,Gita,INT,Meta,tagging sheet,30 Apr 2026,129,GE_US_Gita_LAL_WV_01052026,,
GE_Worldwide Duplicate_MEA_0208026,Others,Others,Other/Non-Meta,others,,,Others,,
IN-Phonics-DemoandInt-Zocket-Dreams,English,India,Meta,tagging sheet,,,IN-Phonics-DemoandInt-Zocket-Dreams,,
IN-Phonics-South-Cities,Others,Others,Other/Non-Meta,others,,,Others,,
in-ps-cw-ph,English,India,Meta,tagging sheet,,,in-ps-cw-ph,,
in-public-speaking,English,India,Meta,others,,,in-public-speaking,,
IN-Unbox-Bangalore-Mumbai-Olderboy,English,India,Meta,tagging sheet,,,IN-Unbox-Bangalore-Mumbai-Olderboy,,
IN_Bangalore_YLC_Shadow,Others,Others,Other/Non-Meta,others,,,Others,,
ind_ycw_gwr,English,India,Meta,tagging sheet,,,ind_ycw_gwr,,
India - Unbox - 05022026,English,India,Meta,tagging sheet,04 Feb 2026,214,India - Unbox - 05022026,,
India-Contacts-01032025,Others,India,Other/Non-Meta,tagging sheet,28 Feb 2025,555,India-Contacts-01032025,,
India-Gita-05052025,Gita,India,Meta,parsed-keyword,04 May 2025,490,India-Gita-05052025,,
India-Gita-18092025,Gita,India,Meta,parsed-keyword,17 Sep 2025,354,India-Gita-18092025,,
India-Gita-26092025-IOS,Gita,India,Meta,tagging sheet,25 Sep 2025,346,India-Gita-26092025-IOS,,
India-Interests-06022026-schedule,Gita,India,Meta,tagging sheet,05 Feb 2026,213,India-Interests-06022026-schedule,,
India-Interests-18022026-schedule-Unbox,English,India,Meta,tagging sheet,17 Feb 2026,201,India-Interests-18022026-schedule-Unbox,,
India-Topcities-21082024,Others,Others,Other/Non-Meta,others,20 Aug 2024,747,Others,,
india-unbox-08oct25,English,India,Meta,tagging sheet,07 Oct 2025,334,india-unbox-08oct25,,
India-Unbox-BLR-16072026,English,India,Meta,tagging sheet,15 Jul 2026,53,India-Unbox-BLR-16072026,,
India_phonics_2,English,India,Meta,tagging sheet,,,India_phonics_2,,
India_ycp,English,India,Meta,tagging sheet,,,India_ycp,,
India_YCW_New_ap,Others,Others,Other/Non-Meta,others,,,Others,,
India_ylc_new_me,English,India,Meta,tagging sheet,,,India_ylc_new_me,,
int_gita,Gita,INT,Meta,tagging sheet,,,int_gita,,
International Markets - STS - 18082025,Gita,INT,Meta,tagging sheet,17 Aug 2025,385,International Markets - STS - 18082025,,
intgitamarch,Others,Others,Other/Non-Meta,others,,,Others,,
kid_with_mic,English,India,Meta,others,,,kid_with_mic,,
kid_with_mic_ycw_ycp,Others,Others,Other/Non-Meta,others,,,Others,,
MEA-interests-06022026-schedule,Gita,MEA,Meta,tagging sheet,05 Feb 2026,213,MEA-interests-06022026-schedule,,
Middle-East-Interests-05072021-Inc-attribution,Gita,MEA,Meta,tagging sheet,04 Jul 2021,1890,Middle-East-Interests-05072021-Inc-attribution,,
NA,Others,Others,Other/Non-Meta,others,,,Others,,
np-ps-phonics,Others,Others,Other/Non-Meta,others,,,Others,,
onlyQatar_yrp_new,Others,Others,Other/Non-Meta,others,,,Others,,
Referred By Faculty Aanchal Sachdeva,Others,Others,Referral,others,,,Others,,
Referred By Faculty Akshita Yadav,Others,Others,Referral,others,,,Others,,
Referred By Faculty Komal Kumari,Others,Others,Referral,others,,,Others,,
Referred By Faculty Lakshmi Aravinda Amur,Others,Others,Referral,others,,,Others,,
Referred By Faculty Lovely Singh,Others,Others,Referral,others,,,Others,,
Referred By Faculty Sanjana K,Others,Others,Referral,others,,,Others,,
Referred By Faculty Shadma Irshad,Others,Others,Referral,others,,,Others,,
Referred By Faculty Sidrah Rashid,Others,Others,Referral,others,,,Others,,
Referred By Faculty SIMRAN SINGH,Others,Others,Referral,others,,,Others,,
Referred By Parent A. B. M. Ariful Hossain,Others,Others,Referral,others,,,Others,,
Referred By Parent Amrutha A R,Others,Others,Referral,others,,,Others,,
Referred By Parent Anjali Singla,Others,Others,Referral,others,,,Others,,
Referred By Parent Apoorva Oberoi,Others,Others,Referral,others,,,Others,,
Referred By Parent Aswin,Others,Others,Referral,others,,,Others,,
Referred By Parent chaithanya Dev,Others,Others,Referral,others,,,Others,,
Referred By Parent Himanshu Bhuyan,Others,Others,Referral,others,,,Others,,
Referred By Parent Manasa Nannuri,Others,Others,Referral,others,,,Others,,
Referred By Parent Monika,Others,Others,Referral,others,,,Others,,
Referred By Parent Neha ARORA,Others,Others,Referral,others,,,Others,,
Referred By Parent Poojitha,Others,Others,Referral,others,,,Others,,
Referred By Parent Pratiksha Chandel,Others,Others,Referral,others,,,Others,,
Referred By Parent Swati Gaikwad,Others,Others,Referral,others,,,Others,,
Referred By Parent Ujjwala Sharma,Others,Others,Referral,others,,,Others,,
sale,Others,Others,Other/Non-Meta,others,,,Others,,
Singapore+Malaysia - 15112025,Others,Others,Other/Non-Meta,others,14 Nov 2025,296,Others,,
Singapore-Gita-Female-25032025,Others,Others,Other/Non-Meta,others,24 Mar 2025,531,Others,,
United Kingdom - 28082025,Others,Others,Other/Non-Meta,others,27 Aug 2025,375,Others,,
US-Gita-18072026-IOS,Gita,INT,Meta,tagging sheet,17 Jul 2026,51,US-Gita-18072026-IOS,,
US-New-28032025,Others,Others,Other/Non-Meta,others,27 Mar 2025,528,Others,,
US/CA_Interest Cohorts & Languages_18.07.2026,Gita,INT,Meta,tagging sheet,17 Jul 2026,51,US/CA_Interest Cohorts & Languages_18.07.2026,,
us_gita_plus,Others,Others,Other/Non-Meta,others,,,Others,,
welcome_popup,Others,Others,Other/Non-Meta,others,,,Others,,
Worldwide (except india bangladesh US),Gita,INT,Meta,others,,,Worldwide (except india bangladesh US),,
Worldwide (except india bangladesh US) - 20112025,Gita,INT,Meta,tagging sheet,19 Nov 2025,291,Worldwide (except india bangladesh US) - 20112025,,
ycp_ggad,Others,Others,Other/Non-Meta,others,,,Others,,
ycpindnew3,Others,Others,Other/Non-Meta,others,,,Others,,
{{campaign.name}},Others,Others,Other/Non-Meta,others,,,Others,,
